Item,Sub Item,"Unit Name e.g. litre, gram","Unit qty i.e. 1.5, 1, etc",Grams,Cal.,Protein,Fat,Carbs,Fiber,"eat type , in = 1, out = 0",extra units qty,Meal applied to,Exclusive to
Vegetables,"BROCCOLI,RAW",cup,1,91,31,2.6,0.3,6,2.4,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",2,
,"ASPARAGUS,RAW",spear,10,120,24,2.6,0.1,4.7,2.5,GROCERY,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",5,
,"SWEET POTATO,RAW",potato,0.5,65,56,1,0,13.1,2,GROCERY,"0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",5,
,"BEANS,GREEN,RAW",cup,1,110,34,2,0.1,7.8,3.7,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"LETTUCE,COS OR ROMAINE,RAW",cup,1,47,8,0.6,0.1,1.5,1,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CARROTS,RAW",cup,1,128,52,1.2,0.3,12.3,3.6,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",4,
Fruits,"APPLES,RAW,WITH SKIN",cup,0.5,62.5,33,0.2,0.1,8.6,1.5,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",3,
,"BANANAS,RAW",banana,0.5,59,53,0.6,0.2,13.5,1.5,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",7,
,"STRAWBERRIES,RAW",cup,0.25,38,12,0.3,0.1,2.9,0.8,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4","1,6,7",
,"GRAPES,RAW",cup,0.25,23,15,0.1,0.1,3.9,0.2,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
